point de hongrie,Erynnis tages
grisette,Carcharodus alceae
hespérie du dactyle,Thymelicus lineola
sylvaine,Ochlodes sylvanus
machaon,Papilio machaon
piéride du chou,Pieris brassicae
piéride de la rave,Pieris rapae
piéride du navet,Pieris napi
aurore,Anthocharis cardamines
souci,Colias crocea
citron,Gonepteryx rhamni
cuivré commun,Lycaena phlaeas
cuivré fuligineux,Lycaena tityrus
azuré des nerpruns,Celastrina argiolus
azuré du trèfle,Cupido argiades
azuré de la bugrane,Polyommatus icarus
petit sylvain,Limenitis camilla
grand mars changeant,Apatura iris
petit mars changeant,Apatura ilia
petite tortue,Aglais urticae
paon du jour,Aglais io
vulcain,Vanessa atalanta
belle dame,Vanessa cardui
robert le diable,Polygonia c-album
carte géographique,Araschnia levana
tircis,Pararge aegeria
mégère,Lasiommata megera
fadet commun,Coenonympha pamphilus
amaryllis,Pyronia tithonus
myrtil,Maniola jurtina
demi deuil,Melanargia galathea
